k,current_theta1,current_thetadot1,current_theta2,current_thetadot2,force1,force2,reward
68,-0.21671301933627782,-0.3707901800171064,-0.30639341906761836,2.038469334767908,-1.5,0.0,-0.35548358931710294
69,-0.2539328131003605,-0.7443958752816532,-0.17186205900785914,2.690627201195184,-1.5,0.0,-0.48369843864287193
70,-0.30932101272572365,-1.1077639925072633,-0.005478573044059132,3.327669719276,-1.5,0.0,-0.7107358448603687
71,-0.3817394236789221,-1.4483682190639695,0.19026324896412916,3.9148364401637656,1.5,-1.0,-1.053110834058534
72,-0.40591104515867166,-0.4834324295949911,0.26054106166241264,1.4055562539656696,1.5,-1.0,-0.34311018624628836
73,-0.3856331547294121,0.4055578085851904,0.21532042477210214,-0.9044127378062101,1.5,-1.0,-0.24419779217112453
74,-0.3227075483476519,1.2585121276352043,0.059094373931804334,-3.124521016805956,0.0,-1.0,-0.6749565247842947
75,-0.2379741804690732,1.694667357571574,-0.16896612077717055,-4.561209894179497,-1.5,1.0,-1.2690079181193905
76,-0.20246211435919031,0.7102413221976578,-0.2689968543732408,-2.000614671921405,1.5,0.0,-0.3386953054767058
77,-0.14968078174094185,1.0556266523649693,-0.3988835989615125,-2.597734891765434,1.5,1.0,-0.5746411717970104
78,-0.10378743396928918,0.9178669554330534,-0.4804775771897063,-1.631879564563876,-1.5,1.0,-0.41690606668787616
79,-0.10043764529015793,0.06699577358262476,-0.45208272164335156,0.5678971109270947,-1.5,1.0,-0.23081628591375544
80,-0.13793016519207452,-0.7498503980383314,-0.3185358049088857,2.6709383346893167,-1.5,0.0,-0.5052991498364239
81,-0.19373407455123598,-1.1160781871832293,-0.15324279554547704,3.3058601872681734,-1.5,0.0,-0.6697333509123651
82,-0.26718655590471146,-1.4690496270695093,0.04278413561339511,3.920538623177443,1.5,-1.0,-0.9496556330473642
83,-0.29265643135219693,-0.5093975089497098,0.11377683064181364,1.4198539005683704,1.5,-1.0,-0.21236650005686838
84,-0.2727708037429503,0.3977125521849326,0.0666181504176448,-0.943173604483377,1.5,-1.0,-0.13122947545762398
85,-0.20955654771757606,1.264285120507485,-0.09348792107759699,-3.2021214299048353,0.0,0.0,-0.6452538639683404
86,-0.149636058346159,1.1984097874283408,-0.24504874561235643,-3.0312164906951886,0.0,0.0,-0.6136628092868893
87,-0.09331499521195394,1.1264212626841015,-0.38726627800254154,-2.844350647803702,1.5,1.0,-0.6266406318437581
88,-0.04431802185143166,0.9799394672104456,-0.4801208434737182,-1.8570913094235326,-1.5,1.0,-0.45293358594539374
89,-0.03815790215266821,0.123202393975269,-0.46219966611625335,0.35842354714929714,-1.5,1.0,-0.22226687030628475
90,-0.07279706551965573,-0.6927832673397504,-0.3392080403117461,2.459832516090144,-1.5,0.0,-0.44689774049642367
91,-0.12573544953160162,-1.0587676802389179,-0.18449084311908617,3.0943439438531986,-1.5,0.0,-0.5846439466426786
92,-0.1964694798703524,-1.414680606775016,0.001325720155566007,3.7163312654930434,-1.5,-1.0,-0.8292239787577803
93,-0.259219143196486,-1.254993266522672,0.1365280482361492,2.704046561611664,1.5,-1.0,-0.530178267473748
94,-0.2750214285959293,-0.3160457079888668,0.14950068622946575,0.25945275986633076,1.5,-1.0,-0.10634727257704901
95,-0.2464961759117487,0.5705050536836126,0.047203509511028974,-2.0459435343687353,0.0,-1.0,-0.2885565841544623
96,-0.19503845497065894,1.0291544188217947,-0.12957551201372663,-3.535580430495112,1.5,0.0,-0.7328042021449825
97,-0.12745135786198108,1.3517419421735573,-0.33348324442884597,-4.0781546483023865,-1.5,1.0,-1.0503825036207273
98,-0.10786172382135677,0.3917926808124863,-0.41336405905034246,-1.597616292429929,1.5,1.0,-0.317797962909079
99,-0.09344606303323823,0.2883132157623708,-0.4494976887544406,-0.7226725940819638,-1.5,1.0,-0.2410493483230156
