u,index,value
0,38,-2209.9164566851255
0,39,-153.8040386506792
0,40,933.0586869677537
0,41,-1627.575982446388
0,42,-4276.292131151354
0,43,-1328.9986286686028
0,44,-3971.0810255095967
0,45,-3916.987494004812
0,46,-2120.1408867925898
0,47,-1932.4234708732986
0,48,-1900.0957021200368
0,49,-653.8848276736115
0,50,1075.211879705115
0,51,-997.5975523350371
0,52,-2634.814916604423
0,53,-3163.5235089646003
0,54,-652.2317912444981
0,55,-3002.411597105175
0,56,-4732.7919481864055
0,57,-475.8845990709535
0,58,-992.9134359458716
0,59,-2208.281542584642
0,60,703.0864342797892
0,61,-17.838534179938783
0,62,-1672.3594907117877
0,63,-2177.652910672432
0,64,-3296.590392204036
0,65,-641.6517333808188
0,66,-2530.848065386824
0,67,-4000.063968301918
0,68,-1568.569591928827
0,69,-3817.3735415750084
0,70,5.807539669839361
0,71,2250.51128078788
0,72,-2612.527977242457
0,73,-1222.5105547391647
0,74,-2474.1864078756957
0,75,-3506.764581672993
0,76,-610.717153553519
0,77,-2353.8536442436252
0,78,-3628.7050573683855
0,79,-1571.6712491361718
0,80,-144.21683141622918
0,81,2241.8916796677436
0,82,-2159.0267922287408
0,83,-1684.663429379388
0,84,-1034.2082841027407
0,85,-2529.5550747092116
0,86,-2499.859892399707
0,87,-423.4320029043782
0,88,-2930.276649454295
0,89,-3858.8682457557165
0,90,-1601.7921670234844
0,91,-453.3210604971021
0,92,284.5166376778918
0,93,-2527.8679524875283
0,94,-249.95262635614102
0,95,-2730.1940990635894
0,96,-842.2992461124381
0,97,-3416.1726156728814
0,98,-779.2128556297812
0,99,-4044.1413741228657
0,100,-3588.150044294444
0,101,328.6877014417522
0,102,1244.8722948519646
0,103,-1215.1185515608215
0,104,-1639.056721305081
0,105,-1688.7955281344057
0,106,-1810.898341228031
0,107,-42.06176490347294
0,108,-4708.494198950104
0,109,-1471.4005027145804
0,110,-4998.058111065367
0,111,-1890.9735323207835
0,112,-379.76097641497773
0,113,-1150.1918203066145
0,114,-1027.5590885970853
0,115,-2679.3529968412035
0,116,-972.1163925559968
0,117,-1767.7735836870463
0,118,-2.281579622954426
0,119,-2949.4952880585206
0,120,-2589.770213703669
3,0,-5400.365589938232
3,1,-1969.249889314507
