k,l,t,current_theta1,current_thetadot1,current_theta2,current_thetadot2,force1,force2,next_theta1,next_thetadot1,next_theta2,next_thetadot2,reward
606,7,6,1.3529198368475466,4.626616408731204,0.6761535046968967,0.811389626707163,0.0,1.0,1.5812417088162944,4.566437439374957,0.7259498723033738,0.995927352129542,-3.3907722728429293
607,7,7,1.5812417088162944,4.566437439374957,0.7259498723033738,0.995927352129542,-1.5,1.0,1.7909300743986065,4.1937673116462415,0.8094094861570084,1.6691922770726912,-4.119539667719814
608,7,8,1.7909300743986065,4.1937673116462415,0.8094094861570084,1.6691922770726912,-1.5,-1.0,2.0221602768165736,4.624604048359346,0.7970384034753404,-0.24742165363336066,-4.881268603769934
609,7,9,2.0221602768165736,4.624604048359346,0.7970384034753404,-0.24742165363336066,-1.5,1.0,2.230231482909274,4.16142412185401,0.8224996212197114,0.5092243548874203,-5.796811405688818
610,7,10,2.230231482909274,4.16142412185401,0.8224996212197114,0.5092243548874203,-1.5,-1.0,2.4526880952082126,4.44913224597877,0.7644761486115463,-1.1604694521633023,-6.529276102544215
611,7,11,2.4526880952082126,4.44913224597877,0.7644761486115463,-1.1604694521633023,1.5,-1.0,2.718540567242571,5.317049440687171,0.5745410068093451,-3.798702836044025,-7.657176028752648
612,7,12,2.718540567242571,5.317049440687171,0.5745410068093451,-3.798702836044025,0.0,0.0,2.987175973278963,5.372708120727832,0.34958566147692405,-4.49910690664842,-9.855618083813091
613,7,13,2.987175973278963,5.372708120727832,0.34958566147692405,-4.49910690664842,0.0,1.0,-3.051246462332251,4.895257431367449,0.18288271253133687,-3.3340589789117434,-11.500828205444693
614,7,14,-3.051246462332251,4.895257431367449,0.18288271253133687,-3.3340589789117434,1.5,-1.0,-2.7661152127470294,5.702624991704429,-0.09846980061498412,-5.627050262926419,-11.097525790148909
615,7,15,-2.7661152127470294,5.702624991704429,-0.09846980061498412,-5.627050262926419,1.5,-1.0,-2.45195594738805,6.283185307179586,-0.4126290659739634,-6.283185307179586,-10.870270994699307
616,7,16,-2.45195594738805,6.283185307179586,-0.4126290659739634,-6.283185307179586,-1.5,0.0,-2.1758777461324694,5.521564025111613,-0.620975941375797,-4.166937508036671,-10.130192474453919
617,7,17,-2.1758777461324694,5.521564025111613,-0.620975941375797,-4.166937508036671,1.5,-1.0,-1.8786944633342102,5.943665655965184,-0.8577883558490716,-4.736248289465492,-7.512606959846554
618,7,18,-1.8786944633342102,5.943665655965184,-0.8577883558490716,-4.736248289465492,1.5,1.0,-1.6008466291576817,5.55695668353057,-0.9709762929130643,-2.2637587412798523,-7.1532542144611115
619,7,19,-1.6008466291576817,5.55695668353057,-0.9709762929130643,-2.2637587412798523,1.5,0.0,-1.327085071053836,5.4752311620769145,-1.0222232226552725,-1.0249385948441643,-5.30572345255251
620,7,20,-1.327085071053836,5.4752311620769145,-1.0222232226552725,-1.0249385948441643,-1.5,-1.0,-1.0787728537965047,4.966244345146627,-1.014776718877701,0.14893007555143023,-4.357527872818658
621,7,21,-1.0787728537965047,4.966244345146627,-1.014776718877701,0.14893007555143023,-1.5,1.0,-0.8891348903627405,3.7927592686752822,-0.844305410123651,3.409426175081001,-3.4278108124196778
